Q12396	Accession
P33577	P33577
Q13421	Q13421
P22894	P22894
Q9NQ34	Q9NQ34
Q43413	Q43413
Q06KA5	Q06KA5
P00760	P00760
P0DQE1	P0DQE1
P13385	P13385
Q6UX39	Q6UX39
Q09140	Q09140
P82818	P82818
P26010	P26010
P14770	P14770
Q9SLP4	Q9SLP4
P08582	P08582
Q90WJ7	Q90WJ7
Q06K61	Q06K61
Q91XZ4	Q91XZ4
P18181	P18181
Q63191	Q63191
P10493	P10493
Q76FP5	Q76FP5
P41543	P41543
P27654	P27654
Q7TQN3	Q7TQN3
P09464	P09464
Q9P2K2	Q9P2K2
O55232	O55232
Q99519	Q99519
Q99969	Q99969
O95157	O95157
P22412	P22412
Q9P0V8	Q9P0V8
P19069	P19069
P79208	P79208
P25236	P25236
P0CS93	P0CS93
Q9LXD6	Q9LXD6
P02654	P02654
P02763	P02763
P01215	P01215
Q9H6E4	Q9H6E4
Q95UE8	Q95UE8
P02672	P02672
P86009	P86009
P13806	P13806
Q9HB40	Q9HB40
Q9BZW8	Q9BZW8
Q9GZZ8	Q9GZZ8
Q7Z5L0	Q7Z5L0
Q9NYY1	Q9NYY1
Q61789	Q61789
P52798	P52798
O60931	O60931
P11021	P11021
P11839	P11839
Q6XE38	Q6XE38
O43291	O43291
P06911	P06911
P32803	P32803
Q9Y6C2	Q9Y6C2
Q8WPJ2	Q8WPJ2
Q3Y5Z3	Q3Y5Z3
P20740	P20740
Q8NBN3	Q8NBN3
P42578	P42578
Q96F46	Q96F46
Q16568	Q16568
P38574	P38574
P08069	P08069
Q8MMH3	Q8MMH3
P04925	P04925
Q50KB1	Q50KB1
O88917	O88917
A2VBC4	A2VBC4
Q5GQ85	Q5GQ85
O18998	O18998
P01588	P01588
O18994	O18994
Q55GS3	Q55GS3
P24807	P24807
Q99467	Q99467
B4FZ87	B4FZ87
Q99372	Q99372
P14209	P14209
Q9LJD9	Q9LJD9
P04062	P04062
P01189	P01189
P19425	P19425
P38570	P38570
Q96KN2	Q96KN2
P01038	P01038
B1P0S1	B1P0S1
P05059	P05059
P20062	P20062
Q8J0D2	Q8J0D2
P07596	P07596
P01348	P01348
Q6DWK3	Q6DWK3
Q27972	Q27972
O64411	O64411
O76537	O76537
P04706	P04706
Q9GZX6	Q9GZX6
P09791	P09791
O95813	O95813
P14214	P14214
P34170	P34170
Q4WZ11	Q4WZ11
P40259	P40259
Q05928	Q05928
Q25255	Q25255
I6S7I0	I6S7I0
P05164	P05164
P55955	P55955
P25033	P25033
Q6QX33	Q6QX33
Q12127	Q12127
Q13445	Q13445
P03998	P03998
Q07092	Q07092
P81264	P81264
P01177	P01177
Q95460	Q95460
P17697	P17697
Q6UX27	Q6UX27
Q9H5V8	Q9H5V8
Q12546	Q12546
P33559	P33559
P19667	P19667
P43121	P43121
Q6T6C1	Q6T6C1
Q9NR61	Q9NR61
P17301	P17301
I6S7G5	I6S7G5
Q7KRU8	Q7KRU8
A0A0R4I951	A0A0R4I951
Q9HBE5	Q9HBE5
Q8T9R8	Q8T9R8
P25116	P25116
Q8I817	Q8I817
Q29422	Q29422
P16235	P16235
P0DUQ6	P0DUQ6
Q02596	Q02596
P05533	P05533
P46165	P46165
Q05091	Q05091
Q75N35	Q75N35
A6XMY0	A6XMY0
P13725	P13725
P35053	P35053
Q94733	Q94733
Q0IQK9	Q0IQK9
P35777	P35777
Q2ULM2	Q2ULM2
A0A023W145	A0A023W145
P27773	P27773
O95866	O95866
Q9NPG1	Q9NPG1
P12992	P12992
Q8MVA6	Q8MVA6
P62520	P62520
Q8WMP9	Q8WMP9
Q9ZWA9	Q9ZWA9
P15358	P15358
P32802	P32802
A0A2I8B346	A0A2I8B346
Q8TCT8	Q8TCT8
P48765	P48765
Q8T0Y7	Q8T0Y7
Q8MP06	Q8MP06
P56201	P56201
A0A0F7YYX3	A0A0F7YYX3
Q02083	Q02083
G8YYA6	G8YYA6
Q27082	Q27082
G9M8X1	G9M8X1
P36511	P36511
B0XT72	B0XT72
P07602	P07602
Q5JNJ5	Q5JNJ5
Q5D710	Q5D710
Q8WWA0	Q8WWA0
Q92765	Q92765
Q9NRC9	Q9NRC9
P19035	P19035
Q92956	Q92956
P84843	P84843
Q9GV28	Q9GV28
P85261	P85261
P09230	P09230
P67875	P67875
P02774	P02774
Q02795	Q02795
B0CPC6	B0CPC6
Q9Y5Q6	Q9Y5Q6
Q6UW56	Q6UW56
Q15465	Q15465
O02839	O02839
Q4W1I9	Q4W1I9
P24259	P24259
P41271	P41271
P49256	P49256
Q6IUU3	Q6IUU3
A9UGV5	A9UGV5
P05067	P05067
P34115	P34115
P30919	P30919
P15467	P15467
Q9Z0K8	Q9Z0K8
Q8NBI3	Q8NBI3
Q96LA5	Q96LA5
Q84V39	Q84V39
Q02747	Q02747
P53366	P53366
Q9NPR2	Q9NPR2
Q945U0	Q945U0
Q8WP90	Q8WP90
P0DL40	P0DL40
P02659	P02659
P55057	P55057
P24821	P24821
Q8HYA9	Q8HYA9
P20774	P20774
Q96X54	Q96X54
P18510	P18510
P07994	P07994
Q96BY9	Q96BY9
E0X9F6	E0X9F6
P0C1X6	P0C1X6
P16382	P16382
Q8BSU2	Q8BSU2
P12820	P12820
Q8GT41	Q8GT41
Q6UWI2	Q6UWI2
P16882	P16882
Q03405	Q03405
P12273	P12273
Q8NI17	Q8NI17
Q13145	Q13145
P49125	P49125
Q9C5S0	Q9C5S0
O59896	O59896
Q86SC0	Q86SC0
P51688	P51688
Q99MA2	Q99MA2
O15455	O15455
Q16552	Q16552
Q86LE5	Q86LE5
Q8NBP7	Q8NBP7
Q9C9G4	Q9C9G4
Q8N6C8	Q8N6C8
P08505	P08505
P10762	P10762
C7G3K3	C7G3K3
Q9R1T7	Q9R1T7
P29060	P29060
Q9UK23	Q9UK23
Q05895	Q05895
P67970	P67970
P55000	P55000
Q3L1D1	Q3L1D1
Q96FE7	Q96FE7
P97535	P97535
O60602	O60602
Q8T0W8	Q8T0W8
P00651	P00651
P42098	P42098
P02701	P02701
Q7Z5A7	Q7Z5A7
P06681	P06681
Q8T0W1	Q8T0W1
A4LAR6	A4LAR6
P10619	P10619
Q06K77	Q06K77
P47001	P47001
Q1HAY7	Q1HAY7
P63153	P63153
P80356	P80356
O46162	O46162
Q9U943	Q9U943
B0FHH8	B0FHH8
P59665	P59665
P15261	P15261
P42705	P42705
Q7M3V1	Q7M3V1
Q6UWV2	Q6UWV2
P09619	P09619
Q7Z0T3	Q7Z0T3
P05186	P05186
P48747	P48747
Q99MG7	Q99MG7
P12314	P12314
P15018	P15018
O76076	O76076
P20068	P20068
P22388	P22388
P04552	P04552
P04275	P04275
P55774	P55774
Q8T0W3	Q8T0W3
O08795	O08795
P18658	P18658
O14786	O14786
Q9UKY0	Q9UKY0
P0CX78	P0CX78
Q9BX93	Q9BX93
P68248	P68248
Q10E50	Q10E50
Q9LRC8	Q9LRC8
P58154	P58154
Q6UW10	Q6UW10
P06865	P06865
O70280	O70280
Q59XX2	Q59XX2
Q8MJV4	Q8MJV4
P20333	P20333
Q70SU7	Q70SU7
Q6UWL6	Q6UWL6
L8BRS3	L8BRS3
Q8TC27	Q8TC27
P28088	P28088
P45590	P45590
Q9U8X3	Q9U8X3
Q8WML4	Q8WML4
Q61508	Q61508
Q9NTU7	Q9NTU7
Q01151	Q01151
P07141	P07141
Q9NAX4	Q9NAX4
A0A0F7YZQ7	A0A0F7YZQ7
P02780	P02780
P82103	P82103
P60568	P60568
O95711	O95711
Q8I7X1	Q8I7X1
P82358	P82358
P07359	P07359
D3Z9M3	D3Z9M3
Q6Z232	Q6Z232
Q55U20	Q55U20
O01949	O01949
P81999	P81999
Q29381	Q29381
P14925	P14925
P01076	P01076
P05113	P05113
P21956	P21956
Q8TD06	Q8TD06
P01048	P01048
P81827	P81827
Q15582	Q15582
P10124	P10124
O62644	O62644
Q8TDQ1	Q8TDQ1
H6U1I8	H6U1I8
Q7ZZN8	Q7ZZN8
O96910	O96910
P28825	P28825
C0HLA0	C0HLA0
P0DUT0	P0DUT0
P98066	P98066
O02380	O02380
Q9Y279	Q9Y279
Q07654	Q07654
P08514	P08514
P11717	P11717
P16150	P16150
Q5F0I3	Q5F0I3
Q9NRR1	Q9NRR1
P35331	P35331
P15309	P15309
P86872	P86872
P01174	P01174
Q63345	Q63345
P80686	P80686
Q15399	Q15399
Q63415	Q63415
A0A5C2A2T2	A0A5C2A2T2
Q9V496	Q9V496
P83472	P83472
Q7SZI7	Q7SZI7
P20507	P20507
P16611	P16611
P31096	P31096
P29794	P29794
P33681	P33681
P19594	P19594
O00105	O00105
A7L035	A7L035
P30659	P30659
P82290	P82290
Q15768	Q15768
Q25055	Q25055
A7VN15	A7VN15
Q6J4Q1	Q6J4Q1
Q00293	Q00293
P06332	P06332
P86798	P86798
O96935	O96935
Q96BF3	Q96BF3
P01591	P01591
Q8LG54	Q8LG54
Q9PVW8	Q9PVW8
P02662	P02662
G5EC68	G5EC68
P02652	P02652
Q8LD43	Q8LD43
O14791	O14791
P01131	P01131
P08236	P08236
F2QXM5	F2QXM5
P61312	P61312
P26842	P26842
U6BLZ9	U6BLZ9
P01068	P01068
Q95JC9	Q95JC9
Q96HE7	Q96HE7
P13671	P13671
D4A540	D4A540
Q6UWI4	Q6UWI4
Q8S2W4	Q8S2W4
P17813	P17813
Q9UIK5	Q9UIK5
P49921	P49921
O75629	O75629
P28770	P28770
Q4V4I9	Q4V4I9
Q9MYV1	Q9MYV1
P26006	P26006
Q968Z6	Q968Z6
Q8MUP7	Q8MUP7
P01721	P01721
P10562	P10562
A0A482A9N4	A0A482A9N4
Q5G8A6	Q5G8A6
P16159	P16159
Q00193	Q00193
Q86YD3	Q86YD3
P01364	P01364
Q06703	Q06703
P23631	P23631
P13611	P13611
K9N4Q4	K9N4Q4
Q20224	Q20224
Q6UX46	Q6UX46
Q13433	Q13433
Q39649	Q39649
P0DMD3	P0DMD3
Q6UX41	Q6UX41
P17164	P17164
O35701	O35701
P49767	P49767
P81054	P81054
Q9Y2I2	Q9Y2I2
Q9GL30	Q9GL30
P00724	P00724
Q86Y34	Q86Y34
Q7YZS9	Q7YZS9
G4V4F9	G4V4F9
Q9VG55	Q9VG55
Q9H293	Q9H293
Q9LLT1	Q9LLT1
Q56S59	Q56S59
Q9UBN6	Q9UBN6
P02462	P02462
P00992	P00992
P36980	P36980
Q9GQV7	Q9GQV7
P0DUS5	P0DUS5
Q8H8C7	Q8H8C7
A8CL69	A8CL69
Q40975	Q40975
P80961	P80961
P0DPV1	P0DPV1
Q8X150	Q8X150
P85197	P85197
P28335	P28335
Q62867	Q62867
Q09117	Q09117
Q86T13	Q86T13
A0A2I6QB00	A0A2I6QB00
P00719	P00719
Q9Z0M9	Q9Z0M9
P06727	P06727
Q6E0U4	Q6E0U4
Q86Y78	Q86Y78
Q8TAL6	Q8TAL6
Q6UX52	Q6UX52
P52706	P52706
Q03472	Q03472
Q8WUJ3	Q8WUJ3
Q9UAH3	Q9UAH3
Q09332	Q09332
P09479	P09479
P35859	P35859
P01226	P01226
Q9NS68	Q9NS68
O62605	O62605
O00206	O00206
P12729	P12729
P02808	P02808
Q9NSA1	Q9NSA1
P30986	P30986
Q26994	Q26994
P03971	P03971
P10820	P10820
Q8W257	Q8W257
Q96S96	Q96S96
Q90ZY0	Q90ZY0
Q09098	Q09098
P60153	P60153
Q13231	Q13231
Q86WA6	Q86WA6
Q5EPH2	Q5EPH2
P25404	P25404
Q92563	Q92563
P02466	P02466
P20013	P20013
K9L4P7	K9L4P7
Q9JMI7	Q9JMI7
P83313	P83313
I1SB12	I1SB12
O60844	O60844
P38660	P38660
Q64385	Q64385
O43866	O43866
P33487	P33487
P0C8G7	P0C8G7
B9A8D7	B9A8D7
Q3C258	Q3C258
O97939	O97939
Q9NZV1	Q9NZV1
P28039	P28039
Q9BXJ7	Q9BXJ7
A0A1W6EVN2	A0A1W6EVN2
P35578	P35578
Q2PS07	Q2PS07
P32358	P32358
P13917	P13917
Q27309	Q27309
P25291	P25291
Q9D6Y1	Q9D6Y1
Q9ERQ6	Q9ERQ6
Q9Y2E5	Q9Y2E5
Q14002	Q14002
Q6UW88	Q6UW88
P54660	P54660
P18709	P18709
Q8JFY4	Q8JFY4
Q27270	Q27270
Q8I948	Q8I948
Q8MMH0	Q8MMH0
Q86IV5	Q86IV5
P14217	P14217
P01168	P01168
P07712	P07712
P13598	P13598
P19427	P19427
P07457	P07457
P55083	P55083
Q6IV20	Q6IV20
D3GDK4	D3GDK4
P00533	P00533
P02783	P02783
A0A3N2PQC3	A0A3N2PQC3
P01830	P01830
Q09022	Q09022
A1XCI9	A1XCI9
Q9BX59	Q9BX59
P14630	P14630
P15242	P15242
P23142	P23142
P31358	P31358
P23389	P23389
P80370	P80370
Q6UXH1	Q6UXH1
P81605	P81605
F1RRV3	F1RRV3
Q96HF1	Q96HF1
F1NSM7	F1NSM7
I2C090	I2C090
P86407	P86407
P13686	P13686
P12872	P12872
P30121	P30121
Q8VCS0	Q8VCS0
O43852	O43852
O62680	O62680
P67861	P67861
Q01460	Q01460
P42292	P42292
Q9TY95	Q9TY95
P18650	P18650
Q13478	Q13478
P01350	P01350
P42264	P42264
Q52085	Q52085
Q556R7	Q556R7
Q9BZR6	Q9BZR6
Q6UXL0	Q6UXL0
P08796	P08796
P50448	P50448
Q92154	Q92154
Q7Q7R8	Q7Q7R8
Q96IQ7	Q96IQ7
Q99ML8	Q99ML8
P23438	P23438
Q653V7	Q653V7
P0DUS8	P0DUS8
P01500	P01500
P22301	P22301
P45561	P45561
O18330	O18330
Q5XM24	Q5XM24
Q6UXK5	Q6UXK5
Q99435	Q99435
Q17128	Q17128
Q9UBT3	Q9UBT3
A1X159	A1X159
P51654	P51654
Q76BW5	Q76BW5
P22748	P22748
P0C8G6	P0C8G6
Q6QD51	Q6QD51
O46654	O46654
Q27908	Q27908
Q92643	Q92643
P01139	P01139
P06912	P06912
P43077	P43077
P06028	P06028
P08887	P08887
Q17058	Q17058
Q0P569	Q0P569
