O74740	accession	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
P40465	P40465	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	213		False
Q04264	Q04264	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1277		False
O82279	O82279	Arabidopsis thaliana	Plants	350		False
P00430	P00430	Bos taurus	Metazoa	63		True
P42777	P42777	Arabidopsis thaliana	Plants	270		False
G5EC32	G5EC32	Caenorhabditis elegans	Metazoa	1005		False
Q6P8Z1	Q6P8Z1	Mus musculus	Metazoa	170		False
Q38893	Q38893	Arabidopsis thaliana	Plants	558		False
Q9BTF0	Q9BTF0	Homo sapiens	Metazoa	503		False
Q9C950	Q9C950	Arabidopsis thaliana	Plants	643		False
Q86TC9	Q86TC9	Homo sapiens	Metazoa	1320		False
P53352	P53352	Gallus gallus	Metazoa	877		False
Q7TS63	Q7TS63	Mus musculus	Metazoa	1237		False
O94248	O94248	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	4717		False
Q9P305	Q9P305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	131		False
P40382	P40382	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	422		False
Q8VY21	Q8VY21	Arabidopsis thaliana	Plants	406		False
P38236	P38236	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	366		False
A0A1C3NSL9	A0A1C3NSL9	Caenorhabditis elegans	Metazoa	1644		False
P00480	P00480	Homo sapiens	Metazoa	354		False
O60674	O60674	Homo sapiens	Metazoa	1132		False
O43137	O43137	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	85		False
Q22707	Q22707	Caenorhabditis elegans	Metazoa	233		False
P13574	P13574	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	688		False
P53266	P53266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	389		True
P32776	P32776	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	642		False
Q56NI9	Q56NI9	Homo sapiens	Metazoa	601		False
Q02080	Q02080	Homo sapiens	Metazoa	365		False
P53193	P53193	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	184		False
O22914	O22914	Arabidopsis thaliana	Plants	124		False
Q03834	Q03834	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1242		False
Q9H5P4	Q9H5P4	Homo sapiens	Metazoa	1033		False
P38175	P38175	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	177		False
P53255	P53255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	507		False
Q504Q3	Q504Q3	Homo sapiens	Metazoa	1202		False
Q8L773	Q8L773	Arabidopsis thaliana	Plants	244		False
Q9H307	Q9H307	Homo sapiens	Metazoa	717		False
Q6P4A7	Q6P4A7	Homo sapiens	Metazoa	337		False
Q6PCP7	Q6PCP7	Mus musculus	Metazoa	798		True
P54857	P54857	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	326		False
P38262	P38262	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	535		False
P33441	P33441	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	392		False
V5IM60	V5IM60	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	59		False
O80683	O80683	Arabidopsis thaliana	Plants	238		False
O13834	O13834	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	3227		False
Q12415	Q12415	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	435		False
Q93015	Q93015	Homo sapiens	Metazoa	286		False
F4ITM1	F4ITM1	Arabidopsis thaliana	Plants	398		False
Q93246	Q93246	Caenorhabditis elegans	Metazoa	310		False
O74895	O74895	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	201		False
Q9FME4	Q9FME4	Arabidopsis thaliana	Plants	521		False
Q8CCG4	Q8CCG4	Mus musculus	Metazoa	296		False
Q76NL8	Q76NL8	Plasmodium falciparum (isolate 3D7)	Other	1193		False
Q9LHF5	Q9LHF5	Arabidopsis thaliana	Plants	602		False
Q18221	Q18221	Caenorhabditis elegans	Metazoa	1507		False
Q7X7A4	Q7X7A4	Oryza sativa subsp. japonica	Plants	475		False
P98083	P98083	Mus musculus	Metazoa	579		False
Q9BUV0	Q9BUV0	Homo sapiens	Metazoa	290		False
Q94CE5	Q94CE5	Arabidopsis thaliana	Plants	504		False
Q14657	Q14657	Homo sapiens	Metazoa	143		False
Q91WW3	Q91WW3	Mus musculus	Metazoa	302		True
O94417	O94417	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	301		False
P46669	P46669	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	326		False
Q06244	Q06244	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	254		False
Q6NW34	Q6NW34	Homo sapiens	Metazoa	567		False
G4MWZ7	G4MWZ7	Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958)	Fungi	702		False
Q9VA37	Q9VA37	Drosophila melanogaster	Metazoa	187		False
Q9Y2I8	Q9Y2I8	Homo sapiens	Metazoa	494		False
P06007	P06007	Chlamydomonas reinhardtii	Plants	352		True
P0CS82	P0CS82	Saccharomyces cerevisiae	Fungi	1483		False
Q9H4M9	Q9H4M9	Homo sapiens	Metazoa	534		False
Q99L02	Q99L02	Mus musculus	Metazoa	253		False
O96622	O96622	Dictyostelium discoideum	Other	369		False
P40087	P40087	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	428		False
Q8BJA3	Q8BJA3	Mus musculus	Metazoa	419		False
Q9P7S9	Q9P7S9	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	194		False
Q9LIQ9	Q9LIQ9	Arabidopsis thaliana	Plants	714		False
H2KYH4	H2KYH4	Caenorhabditis elegans	Metazoa	392		False
P56378	P56378	Homo sapiens	Metazoa	58		True
Q26635	Q26635	Sarcophaga peregrina	Metazoa	354		False
P23351	P23351	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	508		False
Q9Z2N6	Q9Z2N6	Rattus norvegicus	Metazoa	79		False
P48732	P48732	Arabidopsis thaliana	Plants	543		False
Q96B42	Q96B42	Homo sapiens	Metazoa	140		True
P36136	P36136	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	271		False
Q99JZ7	Q99JZ7	Mus musculus	Metazoa	461		False
Q9BY27	Q9BY27	Homo sapiens	Metazoa	220		False
P36177	P36177	Euglena gracilis	Other	538		False
Q5VRM0	Q5VRM0	Oryza sativa subsp. japonica	Plants	91		False
Q6YUS3	Q6YUS3	Oryza sativa subsp. japonica	Plants	552		False
P0CH07	P0CH07	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	128		False
P38227	P38227	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	689		False
P40486	P40486	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	507		False
Q9UII2	Q9UII2	Homo sapiens	Metazoa	106		False
A0A143ZXM2	A0A143ZXM2	Plasmodium falciparum (isolate 3D7)	Other	2074		False
Q9UBK9	Q9UBK9	Homo sapiens	Metazoa	157		False
Q9Y314	Q9Y314	Homo sapiens	Metazoa	301		False
P51947	P51947	Xenopus laevis	Metazoa	323		False
Q08931	Q08931	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	133		False
B2RUZ4	B2RUZ4	Homo sapiens	Metazoa	78		True
O35084	O35084	Mus musculus	Metazoa	507		False
Q03776	Q03776	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	544		False
Q8BVE8	Q8BVE8	Mus musculus	Metazoa	1365		False
O74796	O74796	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	264		False
Q3E7A8	Q3E7A8	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	72		False
Q9SIV2	Q9SIV2	Arabidopsis thaliana	Plants	891		False
O94428	O94428	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	115		False
O43586	O43586	Homo sapiens	Metazoa	416		False
K7WDL7	K7WDL7	Catharanthus roseus	Plants	388		False
O24629	O24629	Arabidopsis thaliana	Plants	502		False
P19783	P19783	Mus musculus	Metazoa	169		False
O65312	O65312	Arabidopsis thaliana	Plants	689		False
Q9FME2	Q9FME2	Arabidopsis thaliana	Plants	460		False
Q8SX83	Q8SX83	Drosophila melanogaster	Metazoa	5560		False
Q9VEN1	Q9VEN1	Drosophila melanogaster	Metazoa	2210		False
P82611	P82611	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	777		False
Q99575	Q99575	Homo sapiens	Metazoa	1024		False
P97452	P97452	Mus musculus	Metazoa	732		False
Q09961	Q09961	Caenorhabditis elegans	Metazoa	148		False
O42975	O42975	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	972		False
Q04305	Q04305	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	513		False
O14737	O14737	Homo sapiens	Metazoa	125		False
Q12038	Q12038	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1033		False
Q8QFX1	Q8QFX1	Gallus gallus	Metazoa	1325		False
P53107	P53107	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	440		False
Q9LXT3	Q9LXT3	Arabidopsis thaliana	Plants	142		False
Q10173	Q10173	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	441		False
Q3SYG4	Q3SYG4	Homo sapiens	Metazoa	887		False
Q6PCP5	Q6PCP5	Mus musculus	Metazoa	291		False
O74876	O74876	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	357		False
Q3T9M1	Q3T9M1	Mus musculus	Metazoa	494		False
A0A0K3AUE4	A0A0K3AUE4	Caenorhabditis elegans	Metazoa	1968		False
P09077	P09077	Drosophila melanogaster	Metazoa	417		False
P38300	P38300	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	278		False
Q14674	Q14674	Homo sapiens	Metazoa	2120		False
Q56Y74	Q56Y74	Arabidopsis thaliana	Plants	663		False
P38793	P38793	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	499		False
P12297	P12297	Drosophila melanogaster	Metazoa	963		False
Q80WE1	Q80WE1	Rattus norvegicus	Metazoa	593		False
P0CY15	P0CY15	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	42		False
P38876	P38876	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	190		False
P47027	P47027	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	764		False
P38855	P38855	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		False
P52868	P52868	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	283		False
O35484	O35484	Mus musculus	Metazoa	448		False
Q6J9Q2	Q6J9Q2	Arabidopsis thaliana	Plants	348		False
Q9Y3U8	Q9Y3U8	Homo sapiens	Metazoa	105		False
O43325	O43325	Homo sapiens	Metazoa	122		False
Q07139	Q07139	Mus musculus	Metazoa	913		False
P52593	P52593	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1655		False
Q09275	Q09275	Caenorhabditis elegans	Metazoa	382		False
P47164	P47164	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	639		False
P04842	P04842	Komagataella phaffii (strain GS115 / ATCC 20864)	Fungi	663		False
Q9QYL0	Q9QYL0	Mus musculus	Metazoa	170		False
P07246	P07246	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	375		False
F4I2H7	F4I2H7	Arabidopsis thaliana	Plants	790		False
