O74740	accession	Label	Set	CV_Fold	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
Q03214	Q03214	0	Training	0	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1411		False
Q86BP6	Q86BP6	0	Training	1	Drosophila melanogaster	Metazoa	1162		False
O94329	O94329	0	Training	2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	183		False
Q49AM1	Q49AM1	0	Training	3	Homo sapiens	Metazoa	385		False
Q9D0Z3	Q9D0Z3	0	Training	4	Mus musculus	Metazoa	276		False
Q9M280	Q9M280	0	Training	0	Arabidopsis thaliana	Plants	116		False
Q07800	Q07800	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	427		False
Q9H814	Q9H814	0	Training	2	Homo sapiens	Metazoa	394		False
Q12338	Q12338	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	110		False
Q8K0U3	Q8K0U3	0	Training	4	Mus musculus	Metazoa	198		True
Q52LJ0	Q52LJ0	0	Training	0	Homo sapiens	Metazoa	433		False
P38710	P38710	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	295		False
P40473	P40473	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	351		False
Q969F9	Q969F9	0	Training	3	Homo sapiens	Metazoa	1004		False
P53142	P53142	0	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	486		True
Q9N2W5	Q9N2W5	0	Training	0	Caenorhabditis elegans	Metazoa	301		False
Q9HDZ6	Q9HDZ6	0	Training	1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	155		False
Q9XUB3	Q9XUB3	0	Training	2	Caenorhabditis elegans	Metazoa	781		False
Q8C5Y2	Q8C5Y2	0	Training	3	Mus musculus	Metazoa	53		True
Q10360	Q10360	0	Training	4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	97		False
Q9WVR8	Q9WVR8	0	Training	0	Rattus norvegicus	Metazoa	610		False
Q8RWG2	Q8RWG2	0	Training	1	Arabidopsis thaliana	Plants	652		False
Q8L4H0	Q8L4H0	0	Training	2	Arabidopsis thaliana	Plants	500		False
Q08816	Q08816	0	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	343		False
Q13535	Q13535	0	Training	4	Homo sapiens	Metazoa	2644		False
E9Q5G7	E9Q5G7	0	Training	0	Mus musculus	Metazoa	496		False
P38885	P38885	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	310		False
O13999	O13999	0	Training	2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	187		True
P23225	P23225	0	Training	3	Zea mays	Plants	1616		False
G4MWZ7	G4MWZ7	0	Training	4	Pyricularia oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958)	Fungi	702		False
Q96FC9	Q96FC9	0	Training	0	Homo sapiens	Metazoa	970		False
Q12102	Q12102	0	Training	1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	859		False
P47127	P47127	0	Training	2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	394		False
Q8R1B8	Q8R1B8	0	Training	3	Mus musculus	Metazoa	470		False
Q9Y6K9	Q9Y6K9	0	Training	4	Homo sapiens	Metazoa	419		False
Q09750	Q09750	0	Training	0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1522		False
O97101	O97101	0	Training	1	Dictyostelium discoideum	Other	1000		False
Q9UL40	Q9UL40	0	Training	2	Homo sapiens	Metazoa	294		False
Q4KMQ2	Q4KMQ2	0	Training	3	Homo sapiens	Metazoa	910		False
Q9M394	Q9M394	0	Training	4	Arabidopsis thaliana	Plants	471		False
Q9URT4	Q9URT4	0	Training	0	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	697		False
A0A161CFW5	A0A161CFW5	0	Training	1	Trypanosoma brucei brucei	Other	305		False
Q6AT90	Q6AT90	0	Training	2	Oryza sativa subsp. japonica	Plants	505		False
O60044	O60044	0	Training	3	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	454		False
O14311	O14311	0	Training	4	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	307		False
P52566	P52566	0	Training	0	Homo sapiens	Metazoa	201		False
Q8LDU4	Q8LDU4	0	Training	1	Arabidopsis thaliana	Plants	319		False
Q9BT43	Q9BT43	0	Training	2	Homo sapiens	Metazoa	218		False
