Q12396	accession	Label	Set	CV_Fold	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
O35310	O35310	1	Training	0	Mus musculus	Metazoa	311	20.0	
P08887	P08887	1	Training	1	Homo sapiens	Metazoa	468	19.0	
P0C1X6	P0C1X6	1	Training	2	Tityus discrepans	Metazoa	62	26.0	
Q8VCS0	Q8VCS0	1	Training	3	Mus musculus	Metazoa	530	22.0	
Q9TY95	Q9TY95	1	Training	4	Plasmodium falciparum (isolate 3D7)	Other	997	22.0	
O02380	O02380	1	Training	0	Tyrophagus putrescentiae	Metazoa	141	15.0	
P49259	P49259	1	Training	1	Bos taurus	Metazoa	1463	20.0	
Q9Z0M9	Q9Z0M9	1	Training	2	Mus musculus	Metazoa	193	28.0	
P09791	P09791	1	Training	3	Trypanosoma brucei brucei	Other	129	27.0	
Q8LD43	Q8LD43	1	Training	4	Arabidopsis thaliana	Plants	62	22.0	
A0A2I6QB00	A0A2I6QB00	1	Training	0	Trametes coccinea (strain BRFM310)	Fungi	418	18.0	
P86872	P86872	1	Training	1	Margaritifera margaritifera	Metazoa	260	19.0	
Q6UX27	Q6UX27	1	Training	2	Homo sapiens	Metazoa	236	16.0	
P00724	P00724	1	Training	3	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	532	19.0	
Q96HF1	Q96HF1	1	Training	4	Homo sapiens	Metazoa	295	24.0	
Q96HE7	Q96HE7	1	Training	0	Homo sapiens	Metazoa	468	23.0	
W1I921	W1I921	1	Training	1	Achatina achatina	Metazoa	184	26.0	
P40259	P40259	1	Training	2	Homo sapiens	Metazoa	229	28.0	
Q3C258	Q3C258	1	Training	3	Actinia equina	Metazoa	70	20.0	
O96935	O96935	1	Training	4	Plasmodium falciparum (isolate 3D7)	Other	1085	30.0	
Q6UWL6	Q6UWL6	1	Training	0	Homo sapiens	Metazoa	708	20.0	
Q61508	Q61508	1	Training	1	Mus musculus	Metazoa	559	19.0	
P13612	P13612	1	Training	2	Homo sapiens	Metazoa	1032	33.0	
P86009	P86009	1	Training	3	Dromaius novaehollandiae	Metazoa	238	17.0	
Q40975	Q40975	1	Training	4	Papaver rhoeas	Plants	139	19.0	
Q96FE7	Q96FE7	1	Training	0	Homo sapiens	Metazoa	263	21.0	
P58154	P58154	1	Training	1	Lymnaea stagnalis	Metazoa	229	19.0	
Q8MVA6	Q8MVA6	1	Training	2	Ixodes scapularis	Metazoa	69	23.0	
Q6UX46	Q6UX46	1	Training	3	Homo sapiens	Metazoa	152	24.0	
P01189	P01189	1	Training	4	Homo sapiens	Metazoa	267	26.0	
Q86T13	Q86T13	1	Training	0	Homo sapiens	Metazoa	490	21.0	
P12314	P12314	1	Training	1	Homo sapiens	Metazoa	374	15.0	
P23631	P23631	1	Training	2	Latrodectus tredecimguttatus	Metazoa	1401	20.0	
P19801	P19801	1	Training	3	Homo sapiens	Metazoa	751	19.0	
P81511	P81511	1	Training	4	Hirudo medicinalis	Metazoa	81	15.0	
P01038	P01038	1	Training	0	Gallus gallus	Metazoa	139	23.0	
P19320	P19320	1	Training	1	Homo sapiens	Metazoa	739	24.0	
Q5AMT2	Q5AMT2	1	Training	2	Candida albicans (strain SC5314 / ATCC MYA-2876)	Fungi	308	18.0	
O46654	O46654	1	Training	3	Sorex araneus	Metazoa	147	20.0	
P27654	P27654	1	Training	4	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	19.0	
P55774	P55774	1	Training	0	Homo sapiens	Metazoa	89	20.0	
P25236	P25236	1	Training	1	Rattus norvegicus	Metazoa	385	19.0	
