Q12396	accession	organism	kingdom	protein_length	cleavage_position	tm_helix_first_90
P33577	P33577	Petromyzon marinus	Metazoa	119	19.0	
Q13421	Q13421	Homo sapiens	Metazoa	622	36.0	
P22894	P22894	Homo sapiens	Metazoa	467	20.0	
Q9NQ34	Q9NQ34	Homo sapiens	Metazoa	198	33.0	
Q43413	Q43413	Capsicum annuum	Plants	75	27.0	
Q06KA5	Q06KA5	Phlebotomus duboscqi	Metazoa	142	20.0	
P00760	P00760	Bos taurus	Metazoa	246	17.0	
P0DQE1	P0DQE1	Scolopendra dehaani	Metazoa	109	23.0	
P13385	P13385	Homo sapiens	Metazoa	188	30.0	
Q6UX39	Q6UX39	Homo sapiens	Metazoa	209	16.0	
Q09140	Q09140	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	1448	18.0	
P82818	P82818	Bombyx mori	Metazoa	66	24.0	
P26010	P26010	Homo sapiens	Metazoa	798	19.0	
P14770	P14770	Homo sapiens	Metazoa	177	16.0	
Q9SLP4	Q9SLP4	Tulipa saxatilis subsp. bakeri	Plants	314	26.0	
P08582	P08582	Homo sapiens	Metazoa	738	19.0	
Q90WJ7	Q90WJ7	Takifugu pardalis	Metazoa	391	20.0	
Q06K61	Q06K61	Phlebotomus duboscqi	Metazoa	516	20.0	
Q91XZ4	Q91XZ4	Mus musculus	Metazoa	772	28.0	
P18181	P18181	Mus musculus	Metazoa	240	22.0	
Q63191	Q63191	Rattus norvegicus	Metazoa	1216	21.0	
P10493	P10493	Mus musculus	Metazoa	1245	28.0	
Q76FP5	Q76FP5	Hypocrea rufa	Fungi	479	20.0	
P41543	P41543	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	476	22.0	
P27654	P27654	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	210	19.0	
Q7TQN3	Q7TQN3	Mus musculus	Metazoa	571	29.0	
P09464	P09464	Pieris brassicae	Metazoa	189	15.0	
Q9P2K2	Q9P2K2	Homo sapiens	Metazoa	825	27.0	
O55232	O55232	Rattus norvegicus	Metazoa	130	32.0	
Q99519	Q99519	Homo sapiens	Metazoa	415	47.0	
Q99969	Q99969	Homo sapiens	Metazoa	163	20.0	
O95157	O95157	Homo sapiens	Metazoa	252	22.0	
P22412	P22412	Sus scrofa	Metazoa	409	16.0	
Q9P0V8	Q9P0V8	Homo sapiens	Metazoa	285	22.0	
P19069	P19069	Cavia porcellus	Metazoa	1742	19.0	
P79208	P79208	Ovis aries	Metazoa	603	16.0	
P25236	P25236	Rattus norvegicus	Metazoa	385	19.0	
P0CS93	P0CS93	Gibberella zeae	Fungi	680	24.0	
Q9LXD6	Q9LXD6	Arabidopsis thaliana	Plants	773	23.0	
P02654	P02654	Homo sapiens	Metazoa	83	26.0	
P02763	P02763	Homo sapiens	Metazoa	201	18.0	
P01215	P01215	Homo sapiens	Metazoa	116	24.0	
Q9H6E4	Q9H6E4	Homo sapiens	Metazoa	229	22.0	
Q95UE8	Q95UE8	Lucilia cuprina	Metazoa	220	19.0	
P02672	P02672	Bos taurus	Metazoa	615	19.0	
P86009	P86009	Dromaius novaehollandiae	Metazoa	238	17.0	
P13806	P13806	Oryctolagus cuniculus	Metazoa	1106	26.0	
Q9HB40	Q9HB40	Homo sapiens	Metazoa	452	26.0	
Q9BZW8	Q9BZW8	Homo sapiens	Metazoa	370	21.0	
Q9GZZ8	Q9GZZ8	Homo sapiens	Metazoa	138	19.0	
Q7Z5L0	Q7Z5L0	Homo sapiens	Metazoa	202	24.0	
Q9NYY1	Q9NYY1	Homo sapiens	Metazoa	176	24.0	
Q61789	Q61789	Mus musculus	Metazoa	3330	31.0	
P52798	P52798	Homo sapiens	Metazoa	201	25.0	
O60931	O60931	Homo sapiens	Metazoa	367	22.0	
P11021	P11021	Homo sapiens	Metazoa	654	18.0	
P11839	P11839	Ovis aries	Metazoa	222	15.0	
Q6XE38	Q6XE38	Homo sapiens	Metazoa	83	21.0	
O43291	O43291	Homo sapiens	Metazoa	252	27.0	
P06911	P06911	Rattus norvegicus	Metazoa	188	19.0	
P32803	P32803	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	203	20.0	
Q9Y6C2	Q9Y6C2	Homo sapiens	Metazoa	1016	21.0	
Q8WPJ2	Q8WPJ2	Mytilus edulis	Metazoa	367	17.0	
Q3Y5Z3	Q3Y5Z3	Bos taurus	Metazoa	240	17.0	
P20740	P20740	Gallus gallus	Metazoa	1473	36.0	
Q8NBN3	Q8NBN3	Homo sapiens	Metazoa	555	21.0	
P42578	P42578	Lymnaea stagnalis	Metazoa	239	18.0	
Q96F46	Q96F46	Homo sapiens	Metazoa	866	32.0	
Q16568	Q16568	Homo sapiens	Metazoa	116	27.0	
P38574	P38574	Bos taurus	Metazoa	287	18.0	
P08069	P08069	Homo sapiens	Metazoa	1367	30.0	
Q8MMH3	Q8MMH3	Pimpla hypochondriaca	Metazoa	488	19.0	
P04925	P04925	Mus musculus	Metazoa	254	22.0	
Q50KB1	Q50KB1	Emiliania huxleyi	Other	223	17.0	
O88917	O88917	Rattus norvegicus	Metazoa	1515	24.0	
A2VBC4	A2VBC4	Polybia paulista	Metazoa	322	18.0	
Q5GQ85	Q5GQ85	Argas reflexus	Metazoa	159	16.0	
O18998	O18998	Oryctolagus cuniculus	Metazoa	281	21.0	
P01588	P01588	Homo sapiens	Metazoa	193	27.0	
O18994	O18994	Sus scrofa	Metazoa	219	21.0	
Q55GS3	Q55GS3	Dictyostelium discoideum	Other	607	19.0	
P24807	P24807	Mus musculus	Metazoa	76	26.0	
Q99467	Q99467	Homo sapiens	Metazoa	661	23.0	
B4FZ87	B4FZ87	Zea mays	Plants	396	31.0	
Q99372	Q99372	Rattus norvegicus	Metazoa	870	27.0	
P14209	P14209	Homo sapiens	Metazoa	185	22.0	
Q9LJD9	Q9LJD9	Arabidopsis thaliana	Plants	60	27.0	
P04062	P04062	Homo sapiens	Metazoa	536	39.0	
P01189	P01189	Homo sapiens	Metazoa	267	26.0	
P19425	P19425	Aedes aegypti	Metazoa	97	19.0	
P38570	P38570	Homo sapiens	Metazoa	1179	18.0	
Q96KN2	Q96KN2	Homo sapiens	Metazoa	507	25.0	
P01038	P01038	Gallus gallus	Metazoa	139	23.0	
B1P0S1	B1P0S1	Pseudopleuronectes americanus	Metazoa	218	23.0	
P05059	P05059	Bos taurus	Metazoa	449	18.0	
P20062	P20062	Homo sapiens	Metazoa	427	18.0	
Q8J0D2	Q8J0D2	Geotrichum sp. (strain M128)	Fungi	812	23.0	
P07596	P07596	Hordeum vulgare	Plants	203	22.0	
P01348	P01348	Sus scrofa	Metazoa	182	24.0	
Q6DWK3	Q6DWK3	Colletotrichum lindemuthianum	Fungi	248	26.0	
