O74740	Accession	Label	Set	CV_Fold
Q03214	Q03214	0	Training	0
Q86BP6	Q86BP6	0	Training	1
O94329	O94329	0	Training	2
Q49AM1	Q49AM1	0	Training	3
Q9D0Z3	Q9D0Z3	0	Training	4
Q9M280	Q9M280	0	Training	0
Q07800	Q07800	0	Training	1
Q9H814	Q9H814	0	Training	2
Q12338	Q12338	0	Training	3
Q8K0U3	Q8K0U3	0	Training	4
Q52LJ0	Q52LJ0	0	Training	0
P38710	P38710	0	Training	1
P40473	P40473	0	Training	2
Q969F9	Q969F9	0	Training	3
P53142	P53142	0	Training	4
Q9N2W5	Q9N2W5	0	Training	0
Q9HDZ6	Q9HDZ6	0	Training	1
Q9XUB3	Q9XUB3	0	Training	2
Q8C5Y2	Q8C5Y2	0	Training	3
Q10360	Q10360	0	Training	4
Q9WVR8	Q9WVR8	0	Training	0
Q8RWG2	Q8RWG2	0	Training	1
Q8L4H0	Q8L4H0	0	Training	2
Q08816	Q08816	0	Training	3
Q13535	Q13535	0	Training	4
E9Q5G7	E9Q5G7	0	Training	0
P38885	P38885	0	Training	1
O13999	O13999	0	Training	2
P23225	P23225	0	Training	3
G4MWZ7	G4MWZ7	0	Training	4
Q96FC9	Q96FC9	0	Training	0
Q12102	Q12102	0	Training	1
P47127	P47127	0	Training	2
Q8R1B8	Q8R1B8	0	Training	3
Q9Y6K9	Q9Y6K9	0	Training	4
Q09750	Q09750	0	Training	0
O97101	O97101	0	Training	1
Q9UL40	Q9UL40	0	Training	2
Q4KMQ2	Q4KMQ2	0	Training	3
Q9M394	Q9M394	0	Training	4
Q9URT4	Q9URT4	0	Training	0
A0A161CFW5	A0A161CFW5	0	Training	1
Q6AT90	Q6AT90	0	Training	2
O60044	O60044	0	Training	3
O14311	O14311	0	Training	4
P52566	P52566	0	Training	0
Q8LDU4	Q8LDU4	0	Training	1
Q9BT43	Q9BT43	0	Training	2
Q53AQ4	Q53AQ4	0	Training	3
Q9HB21	Q9HB21	0	Training	4
P33751	P33751	0	Training	0
Q8LAC4	Q8LAC4	0	Training	1
O74560	O74560	0	Training	2
P40356	P40356	0	Training	3
Q86TU7	Q86TU7	0	Training	4
Q92688	Q92688	0	Training	0
Q584U2	Q584U2	0	Training	1
Q99LY9	Q99LY9	0	Training	2
Q5HZG9	Q5HZG9	0	Training	3
P38325	P38325	0	Training	4
Q08282	Q08282	0	Training	0
Q9VEA5	Q9VEA5	0	Training	1
Q8RWG1	Q8RWG1	0	Training	2
Q3MJK5	Q3MJK5	0	Training	3
Q10204	Q10204	0	Training	4
Q9Z0Y7	Q9Z0Y7	0	Training	0
Q9Y584	Q9Y584	0	Training	1
Q96SQ7	Q96SQ7	0	Training	2
O54697	O54697	0	Training	3
Q9HB58	Q9HB58	0	Training	4
Q9H6E5	Q9H6E5	0	Training	0
G5EDM7	G5EDM7	0	Training	1
Q9XII1	Q9XII1	0	Training	2
O13859	O13859	0	Training	3
P21757	P21757	0	Training	4
Q9Y5L0	Q9Y5L0	0	Training	0
Q8AYS7	Q8AYS7	0	Training	1
P18847	P18847	0	Training	2
Q9N425	Q9N425	0	Training	3
Q9NVU0	Q9NVU0	0	Training	4
Q93560	Q93560	0	Training	0
Q9NRP2	Q9NRP2	0	Training	1
Q9P2D0	Q9P2D0	0	Training	2
Q9UBS8	Q9UBS8	0	Training	3
O13978	O13978	0	Training	4
G5DBJ0	G5DBJ0	0	Training	0
Q07684	Q07684	0	Training	1
C6KST8	C6KST8	0	Training	2
Q9Y448	Q9Y448	0	Training	3
Q03372	Q03372	0	Training	4
Q09902	Q09902	0	Training	0
P43606	P43606	0	Training	1
Q9C9F5	Q9C9F5	0	Training	2
Q91XW8	Q91XW8	0	Training	3
Q8LIY8	Q8LIY8	0	Training	4
G4SLH0	G4SLH0	0	Training	0
O20029	O20029	0	Training	1
O94358	O94358	0	Training	2
A0A0S2UWC9	A0A0S2UWC9	0	Training	3
Q9H0V1	Q9H0V1	0	Training	4
B0L3A2	B0L3A2	0	Training	0
E9PRG8	E9PRG8	0	Training	1
Q8WQX5	Q8WQX5	0	Training	2
Q86YN6	Q86YN6	0	Training	3
Q9FJL0	Q9FJL0	0	Training	4
F1QN48	F1QN48	0	Training	0
Q9H6R4	Q9H6R4	0	Training	1
Q93Y32	Q93Y32	0	Training	2
Q9T6H8	Q9T6H8	0	Training	3
O75426	O75426	0	Training	4
Q8RWL4	Q8RWL4	0	Training	0
Q9BQ65	Q9BQ65	0	Training	1
Q9BQL6	Q9BQL6	0	Training	2
Q9Y7Y6	Q9Y7Y6	0	Training	3
Q8LEA8	Q8LEA8	0	Training	4
Q8I397	Q8I397	0	Training	0
O74946	O74946	0	Training	1
G5EGA9	G5EGA9	0	Training	2
Q6NVG5	Q6NVG5	0	Training	3
P25038	P25038	0	Training	4
S0DPL8	S0DPL8	0	Training	0
Q9Y237	Q9Y237	0	Training	1
J7M799	J7M799	0	Training	2
Q91VD9	Q91VD9	0	Training	3
Q96CU9	Q96CU9	0	Training	4
F4HVG8	F4HVG8	0	Training	0
