Q12396	Accession	Label	Set	CV_Fold
O35310	O35310	1	Training	0
P08887	P08887	1	Training	1
P0C1X6	P0C1X6	1	Training	2
Q8VCS0	Q8VCS0	1	Training	3
Q9TY95	Q9TY95	1	Training	4
O02380	O02380	1	Training	0
P49259	P49259	1	Training	1
Q9Z0M9	Q9Z0M9	1	Training	2
P09791	P09791	1	Training	3
Q8LD43	Q8LD43	1	Training	4
A0A2I6QB00	A0A2I6QB00	1	Training	0
P86872	P86872	1	Training	1
Q6UX27	Q6UX27	1	Training	2
P00724	P00724	1	Training	3
Q96HF1	Q96HF1	1	Training	4
Q96HE7	Q96HE7	1	Training	0
W1I921	W1I921	1	Training	1
P40259	P40259	1	Training	2
Q3C258	Q3C258	1	Training	3
O96935	O96935	1	Training	4
Q6UWL6	Q6UWL6	1	Training	0
Q61508	Q61508	1	Training	1
P13612	P13612	1	Training	2
P86009	P86009	1	Training	3
Q40975	Q40975	1	Training	4
Q96FE7	Q96FE7	1	Training	0
P58154	P58154	1	Training	1
Q8MVA6	Q8MVA6	1	Training	2
Q6UX46	Q6UX46	1	Training	3
P01189	P01189	1	Training	4
Q86T13	Q86T13	1	Training	0
P12314	P12314	1	Training	1
P23631	P23631	1	Training	2
P19801	P19801	1	Training	3
P81511	P81511	1	Training	4
P01038	P01038	1	Training	0
P19320	P19320	1	Training	1
Q5AMT2	Q5AMT2	1	Training	2
O46654	O46654	1	Training	3
P27654	P27654	1	Training	4
P55774	P55774	1	Training	0
P25236	P25236	1	Training	1
Q99MA2	Q99MA2	1	Training	2
Q86YD3	Q86YD3	1	Training	3
O55232	O55232	1	Training	4
A0A0F7YYX3	A0A0F7YYX3	1	Training	0
Q8WQK0	Q8WQK0	1	Training	1
P31358	P31358	1	Training	2
Q5EPH2	Q5EPH2	1	Training	3
Q6UXK5	Q6UXK5	1	Training	4
Q01151	Q01151	1	Training	0
Q06703	Q06703	1	Training	1
P54803	P54803	1	Training	2
Q99519	Q99519	1	Training	3
Q96S96	Q96S96	1	Training	4
Q9GZZ8	Q9GZZ8	1	Training	0
A6XMY0	A6XMY0	1	Training	1
O00206	O00206	1	Training	2
Q15399	Q15399	1	Training	3
P10820	P10820	1	Training	4
P01215	P01215	1	Training	0
Q9P0V8	Q9P0V8	1	Training	1
Q09332	Q09332	1	Training	2
P02780	P02780	1	Training	3
P01588	P01588	1	Training	4
Q20224	Q20224	1	Training	0
O97939	O97939	1	Training	1
Q05091	Q05091	1	Training	2
P0DUT6	P0DUT6	1	Training	3
P28770	P28770	1	Training	4
P10813	P10813	1	Training	0
Q01965	Q01965	1	Training	1
P02659	P02659	1	Training	2
P09619	P09619	1	Training	3
Q62867	Q62867	1	Training	4
P13385	P13385	1	Training	0
Q01129	Q01129	1	Training	1
Q8NBP7	Q8NBP7	1	Training	2
C7G3K3	C7G3K3	1	Training	3
Q39962	Q39962	1	Training	4
Q7M4T0	Q7M4T0	1	Training	0
Q9JI59	Q9JI59	1	Training	1
Q9BX59	Q9BX59	1	Training	2
Q92765	Q92765	1	Training	3
Q9NPA0	Q9NPA0	1	Training	4
Q8T0W3	Q8T0W3	1	Training	0
P47001	P47001	1	Training	1
P07507	P07507	1	Training	2
Q8N766	Q8N766	1	Training	3
Q6UX39	Q6UX39	1	Training	4
Q59XX2	Q59XX2	1	Training	0
Q7Z5L0	Q7Z5L0	1	Training	1
P02750	P02750	1	Training	2
Q6UWI2	Q6UWI2	1	Training	3
P01068	P01068	1	Training	4
Q9H9K5	Q9H9K5	1	Training	0
Q868Z9	Q868Z9	1	Training	1
O88917	O88917	1	Training	2
Q6T6C1	Q6T6C1	1	Training	3
O02839	O02839	1	Training	4
Q9UAH3	Q9UAH3	1	Training	0
Q5B1W7	Q5B1W7	1	Training	1
Q9NSA1	Q9NSA1	1	Training	2
Q8TD06	Q8TD06	1	Training	3
P01830	P01830	1	Training	4
P85261	P85261	1	Training	0
P81295	P81295	1	Training	1
P01139	P01139	1	Training	2
P15242	P15242	1	Training	3
