O74740	Accession
P40465	P40465
Q04264	Q04264
O82279	O82279
P00430	P00430
P42777	P42777
G5EC32	G5EC32
Q6P8Z1	Q6P8Z1
Q38893	Q38893
Q9BTF0	Q9BTF0
Q9C950	Q9C950
Q86TC9	Q86TC9
P53352	P53352
Q7TS63	Q7TS63
O94248	O94248
Q9P305	Q9P305
P40382	P40382
Q8VY21	Q8VY21
P38236	P38236
A0A1C3NSL9	A0A1C3NSL9
P00480	P00480
O60674	O60674
O43137	O43137
Q22707	Q22707
P13574	P13574
P53266	P53266
P32776	P32776
Q56NI9	Q56NI9
Q02080	Q02080
P53193	P53193
O22914	O22914
Q03834	Q03834
Q9H5P4	Q9H5P4
P38175	P38175
P53255	P53255
Q504Q3	Q504Q3
Q8L773	Q8L773
Q9H307	Q9H307
Q6P4A7	Q6P4A7
Q6PCP7	Q6PCP7
P54857	P54857
P38262	P38262
P33441	P33441
V5IM60	V5IM60
O80683	O80683
O13834	O13834
Q12415	Q12415
Q93015	Q93015
F4ITM1	F4ITM1
Q93246	Q93246
O74895	O74895
Q9FME4	Q9FME4
Q8CCG4	Q8CCG4
Q76NL8	Q76NL8
Q9LHF5	Q9LHF5
Q18221	Q18221
Q7X7A4	Q7X7A4
P98083	P98083
Q9BUV0	Q9BUV0
Q94CE5	Q94CE5
Q14657	Q14657
Q91WW3	Q91WW3
O94417	O94417
P46669	P46669
Q06244	Q06244
Q6NW34	Q6NW34
G4MWZ7	G4MWZ7
Q9VA37	Q9VA37
Q9Y2I8	Q9Y2I8
P06007	P06007
P0CS82	P0CS82
Q9H4M9	Q9H4M9
Q99L02	Q99L02
O96622	O96622
P40087	P40087
Q8BJA3	Q8BJA3
Q9P7S9	Q9P7S9
Q9LIQ9	Q9LIQ9
H2KYH4	H2KYH4
P56378	P56378
Q26635	Q26635
P23351	P23351
Q9Z2N6	Q9Z2N6
P48732	P48732
Q96B42	Q96B42
P36136	P36136
Q99JZ7	Q99JZ7
Q9BY27	Q9BY27
P36177	P36177
Q5VRM0	Q5VRM0
Q6YUS3	Q6YUS3
P0CH07	P0CH07
P38227	P38227
P40486	P40486
Q9UII2	Q9UII2
A0A143ZXM2	A0A143ZXM2
Q9UBK9	Q9UBK9
Q9Y314	Q9Y314
P51947	P51947
Q08931	Q08931
B2RUZ4	B2RUZ4
O35084	O35084
Q03776	Q03776
Q8BVE8	Q8BVE8
O74796	O74796
Q3E7A8	Q3E7A8
Q9SIV2	Q9SIV2
O94428	O94428
O43586	O43586
K7WDL7	K7WDL7
O24629	O24629
P19783	P19783
O65312	O65312
Q9FME2	Q9FME2
Q8SX83	Q8SX83
Q9VEN1	Q9VEN1
P82611	P82611
Q99575	Q99575
P97452	P97452
Q09961	Q09961
O42975	O42975
Q04305	Q04305
O14737	O14737
Q12038	Q12038
Q8QFX1	Q8QFX1
P53107	P53107
Q9LXT3	Q9LXT3
Q10173	Q10173
Q3SYG4	Q3SYG4
Q6PCP5	Q6PCP5
O74876	O74876
Q3T9M1	Q3T9M1
A0A0K3AUE4	A0A0K3AUE4
P09077	P09077
P38300	P38300
Q14674	Q14674
Q56Y74	Q56Y74
P38793	P38793
P12297	P12297
Q80WE1	Q80WE1
P0CY15	P0CY15
P38876	P38876
P47027	P47027
P38855	P38855
P52868	P52868
O35484	O35484
Q6J9Q2	Q6J9Q2
Q9Y3U8	Q9Y3U8
O43325	O43325
Q07139	Q07139
P52593	P52593
Q09275	Q09275
P47164	P47164
P04842	P04842
Q9QYL0	Q9QYL0
P07246	P07246
F4I2H7	F4I2H7
Q9SKT0	Q9SKT0
O74381	O74381
Q9USX3	Q9USX3
Q9FNY3	Q9FNY3
Q96KP4	Q96KP4
Q03112	Q03112
Q0QWG9	Q0QWG9
Q86WR0	Q86WR0
P82925	P82925
Q9CAF4	Q9CAF4
Q6K271	Q6K271
Q09293	Q09293
Q9UUH6	Q9UUH6
Q02040	Q02040
Q8TAX9	Q8TAX9
A6NDU8	A6NDU8
Q949W6	Q949W6
O00463	O00463
Q8IBN8	Q8IBN8
Q01292	Q01292
O60044	O60044
P42951	P42951
P40155	P40155
Q8H1D9	Q8H1D9
Q9BU61	Q9BU61
Q08923	Q08923
Q9UNQ2	Q9UNQ2
Q8IUH3	Q8IUH3
Q5W0Q7	Q5W0Q7
Q08963	Q08963
Q95QA6	Q95QA6
Q56VL3	Q56VL3
Q940U6	Q940U6
O14188	O14188
Q05728	Q05728
